specialid,title,description,url
5525,我发现遗憾之美,"或许这就是遗憾之美吧。恒星和流星也都很美,一种美得<em><b>永恒</b></em>、持久却不鲜明耀眼,另一种美得灿烂、光彩却转瞬即逝。它们所代表的两种人生也是如此。有的人一生默默...",http://www.uu6u.com/show-13-32191-1.html
5525,永恒的美丽,"如同迟暮之年的妇女,褪尽铅华,但零星之间却又流淌着一种自然萦绕着一种震撼人心的美。“这就<em><b>是永恒</b></em>的美丽吗?”我问着自己,也同样问着花儿。...",http://www.uu6u.com/show-13-16088-1.html
5525,作文素材积累-为你的作文增色的100个的唯美句子,"真正能在心中美丽<em><b>永恒</b></em>的,唯有刻骨的一刹那记忆而已。42.青春结伴,我已有过,是...47.世上没有十全十美的文章,如同世上没有彻头彻尾的绝望。48.感谢上天让...",http://www.uu6u.com/show-13-3349-1.html
5770,【建工时事】观看红色电影了解革命历程,"为了让大一学生了解本学期将要学习的课程《毛泽东思想和中国特色社会主义理论体系概论》,为了让大一学生了解早期的革命历程,3月18日下午6点建工学院全体...",http://www.uu6u.com/show-13-502-1.html
5770,【光影流年】红色电影《斯大林格勒》影评投票环节正式开-优秀...,"斯大林格勒,又称伏尔加格勒,城市位于俄罗斯伏尔加河畔,受伏尔加河的滋润,风景秀丽,气候宜人,物产丰富,历来被称为俄罗斯的“南部粮仓”。而1942年的...",http://www.uu6u.com/show-10-2822-1.html
5770,冬天里的温暖-作文,"笑声未止,从车里探出一头“红毛”,不怀好意地向我喊叫。“你才坐福呢,我——”没等我说完,随着“嘭”的关车门声,一道<em><b>红影</b></em>闪到我面前。...",http://www.uu6u.com/show-9-39154-1.html
6002,享受生命的力量,"享受<em><b>生命的力量</b></em>风可以吹起一张大白纸,却无法吹走一只蝴蝶,因为<em><b>生命的力量</b></em>在于不顺从。冬天象征着无情,象征着冷漠,它无情的吹打,吹落那些娇嫩的花朵。而就在冷酷...",http://www.uu6u.com/show-11-22377-1.html
6002,培养尊重生命的孩子:优秀作文《探寻生命的力量》,"《探寻<em><b>生命的力量</b></em>》贝尔宁波鄞州中心上个礼拜,几颗不起眼的小绿豆被我放进了沾满了水的纸巾铺成的“水床”里。过来一个星期,我发现绿豆比原来长了...",http://www.uu6u.com/show-10-2129-1.html
6002,尊重生命-作文,"一个<em><b>生命</b></em>在世界上消逝了……每当下过雨后,校园里都会爬出好多好多小蜗牛,爬到路中央。我想这些小不点一定是偷偷跑出业的,因为它们还很小,妈妈一定不会让它们...",http://www.uu6u.com/show-7-48174-1.html
6002,"我,在路上","风可以吹起一大张白纸,却无法吹走一只小小的蝴蝶,因为<em><b>生命的力量</b></em>在于坚持,在于不顺从。——题记夜深了。此刻的我独坐窗边,做着一套又一套的模拟试卷。时针悄悄...",http://www.uu6u.com/show-7-45803-1.html
6002,心的声音,"在抗争中老树把根扎得更深,以吸取更多养分;在抗争中老树用心的声音生存下来,这样老树就会一次又一次地同更强大<em><b>的力量</b></em>抗争,同命运抗争,在抗争中,老树的<em><b>生命</b></em>之花...",http://www.uu6u.com/show-6-30595-1.html
6502,五水共治——我心目中的小河-佳作网-中小学生,"<em><b>五水共治</b></em>——<em><b>我心目中的小河</b></em>-<em><b>佳作网</b></em>-<em><b>中小学生</b></em>2015-11-0121:23:59作者:yuanhui点击:每年暑假回家,我都会满怀欣喜的带着家人去看看村口的那小河,那...",http://www.uu6u.com/show-11-4216-1.html
6502,"五水共治,我心中的小河-佳作网-中小学生写作","在我的<em><b>心目中</b></em>,小河,你是纯洁的;在我的<em><b>心目中</b></em>,小河,你是洁白无瑕的;在我的...看过<em><b>五水共治</b></em>,<em><b>我心中的小河</b></em>-<em><b>佳作网</b></em>-<em><b>中小学生</b></em>写作的人还在看...",http://www.uu6u.com/show-7-4430-1.html
6502,五水共治——我心中的小河-佳作网-中小学生写,"<em><b>五水共治</b></em>——<em><b>我心中的小河</b></em>-<em><b>佳作网</b></em>-<em><b>中小学生</b></em>写2015-10-1010:00:47作者:yuanhui点击:我的家乡在美丽的新市,它是一座具有千年历史的江南古镇,有“...",http://www.uu6u.com/show-10-3834-1.html
6502,"五水共治,从我做起-佳作网-中小学生写作社区","<em><b>小河</b></em>变清了,看到这一切,我发现夹在爷爷眉间的雾霾不见了,而是舒展的笑容取代了...看过<em><b>五水共治</b></em>,从我做起-<em><b>佳作网</b></em>-<em><b>中小学生</b></em>写作社区的人还在看...",http://www.uu6u.com/show-6-3872-1.html
6502,"五水共治,与梦同行-佳作网-中小学生写作社区","曾经我的家乡有一条美丽<em><b>的小河</b></em>,原先河水晶亮透明,从河面看下去清澈见底,可以...看过<em><b>五水共治</b></em>,与梦同行-<em><b>佳作网</b></em>-<em><b>中小学生</b></em>写作社区的人还在看...",http://www.uu6u.com/show-11-3803-1.html
7156,"美丽中国,我的中国梦-作文","<em><b>美丽中国,我的中国梦</b></em>-作文2016-03-0613:16:44作者:yuanhui点击:梦想就是一种只要坚持就会感到幸福的东西,是深藏在人们内心深处的最深切的渴望。上至神农...",http://www.uu6u.com/show-9-16172-1.html
7156,我的梦.中国梦,"习近平总书记指出:“走向生态文明新时代,建设<em><b>美丽中国,</b></em>是实现中华民族伟大复兴<em><b>的中国梦</b></em>的重要内容。”从“美丽中国”的提出,到“五位一体”的统筹,再到全面建成小康...",http://www.uu6u.com/show-9-34615-1.html
7156,"实现美丽中国梦,人人有责","习近平主席提出<em><b>,中国梦,</b></em>就是对建设社会主义国家,建设社会主义现代化强国,实现中华民族的伟大复兴的历史接力,它们既一脉相承,又与时俱进,从而构成<em><b>中国</b></em>共产党领导全国...",http://www.uu6u.com/show-13-34431-1.html
7156,最重要的还要有一个美丽,"什么是<em><b>中国梦</b></em>呢?我很模糊。老师说:“<em><b>中国梦</b></em>”是中共中央总书记习近平同志提出的,所谓“<em><b>中国梦</b></em>”就是实现中华民族的伟大复兴,而我觉得是小朋友有玩具...",http://www.uu6u.com/show-7-48144-1.html
7156,"故事,温暖如初","我一直想寻找一个花园,置身其中,脚边,身旁,尽是无数细小的花朵,像微笑的星星...教你用呼吸法唱出高音那一秒,是您让我心头微颤<em><b>美丽中国,我的中国梦</b></em>-作文推...",http://www.uu6u.com/show-7-16167-1.html
7506,妈妈总是带着严肃的神情对我说,"她穿着纱裙,手拿一支画笔,带着五彩缤纷的<em><b>颜料</b></em>,迈...可他们万万没想到的是,自己一旦脱离了线,竟会如此...<em><b>我看到</b></em>了里面裹着的小小的脚:又长又细,<em><b>就像</b></em>一只...",http://www.uu6u.com/show-13-22816-1.html
7506,一场审判大会,"水妹妹哭着说:“太阳审判长啊,人类把污水、毒水、粪便排到我身体里,我<em><b>现在</b></em>...飞船里没水了。我们以为里面很干净就喝了几口,其实这<em><b>水是染</b></em>过蓝<em><b>颜料的水</b></em>!幸好...",http://www.uu6u.com/show-8-3835-1.html
7506,"朋友,你们是我天空里的星","我总是以滑稽的语言和动作把她逗得乐不可支...绿色的蔓延如同画布上倾倒的<em><b>颜料</b></em>,一点点浸润...我们不知怎的都沉默了,忧伤<em><b>就像</b></em>漂浮在空气里的...",http://www.uu6u.com/show-8-21061-1.html
7506,我不禁惊异于它的慷慨和旷达,"我的心<em><b>就像是</b></em>破晓的晨光穿透了的苍蓝色的天壁,千疮百孔。暮色渐袭,水云微醺,...从身体里迸发出来,分离的,对立的,发出棱镜霓虹般的丽彩,像要浇灌下来的<em><b>颜料</b></em>。...",http://www.uu6u.com/show-8-19823-1.html
7586,我心中的桃花源,"我从床上惊坐起,呵,果然是场梦罢了。是啊,世界上怎么会没有战争呢?<em><b>桃花源</b></em>不过是我们的幻想罢了……初二:孙潼相关推荐看过我<em><b>心中的桃花源</b></em>的人还在看...",http://www.uu6u.com/show-8-38311-1.html
7586,我心中的桃花源-作文,"我<em><b>心中的桃花源</b></em>-作文2016-04-2311:39:18作者:yuanhui点击:总想着去找一块属于自己的净土,轻轻地播种下一粒花种,等待着那朵小小的桃花静静的绽放。——...",http://www.uu6u.com/show-6-35384-1.html
7586,我心目中的桃花源,"我心目中的<em><b>桃花源</b></em>人人<em><b>心中</b></em>都有一个世外<em><b>桃源</b></em>,那是人们理想中的世界。那里有和平安定,没有战乱的硝烟;那里有民风淳朴的人们,没有现在的勾心斗角;没有时间、事业...",http://www.uu6u.com/show-6-34359-1.html
7586,在作者陶渊明生活的那个战乱频繁的时代,"我<em><b>心中的桃花源</b></em>读了《<em><b>桃花源</b></em>记》,我感觉到了<em><b>桃花源</b></em>的美,景色美,人也美——和谐、热情、幸福。在作者陶渊明生活的那个战乱频繁的时代,这样的<em><b>桃花源</b></em>是当时所有人...",http://www.uu6u.com/show-8-34652-1.html
7586,寻觅“幸福”,"每个人都有自己心中那个“<em><b>桃花源</b></em>”,有的人认为,每天什么都不干,无所事事,快快乐乐的生活就是幸福;有的人认为,陶渊明笔下的“<em><b>桃花源</b></em>”也是他们<em><b>心中的</b></em>“<em><b>桃花源</b></em>”...",http://www.uu6u.com/show-6-30820-1.html
7766,"【小贝日记】学习英语很简单,来Tina老师的游戏课堂","和孩子一起慢慢体味相伴时际遇的每一道风景小贝爱唠叨我们给不了孩子属于他的...看过【小贝<em><b>日记】</b></em>学习<em><b>英语</b></em>很简单,来Tina老师的游戏课堂的人还在看...",http://www.uu6u.com/show-10-3710-1.html
8142,少年日记三则,"少年<em><b>日记三则</b></em>湖南省岳阳市五中苗圃文学社辅导老师熊翃邮编414000日记(一)3月16日星期天阴今天我终于迎来了我梦寐以求的星期日。为了今天学作文,我一大...",http://www.uu6u.com/show-10-38688-1.html
8191,作文素材积累-为你的作文增色的100个的唯美句子,"10.融进银河,就安谧地和明月为伴<em><b>照亮</b></em>长天;没入...17.别让别人徘徊的脚步踩碎你明天美好的<em><b>梦想</b></em>,天下...85.回忆能远离平淡,能使本来平淡的日子背叛<em><b>现实</b></em>做...",http://www.uu6u.com/show-13-3349-1.html
8191,"我的梦,中国梦","<em><b>梦想照亮</b></em>人生,梦想该变<em><b>现实</b></em>,梦想创造历史。梦想在长城脚下放飞,希望我在脑中点燃。黑暗中一盏明灯,指引着我们的去向,记得苏格拉底说过:世界上最快乐的事,莫过于为...",http://www.uu6u.com/show-8-34907-1.html
8191,乞丐指着不远处一座天桥的下面,"贝壳里,我走得极其缓慢,时而蹲下来,拾起一捧沙,贪婪地欣赏着它让人为之震撼的...<em><b>梦想照亮</b></em>人生,梦想改变<em><b>现实</b></em>,梦想创造历史!梦在前方,路在脚下。沿着中国特色...",http://www.uu6u.com/show-8-19445-1.html
8191,励志成才,"人”,我立下的誓言,许下的心愿一切都成为了<em><b>现实</b></em>。...作为当代的一名中学生,我继续<em><b>梦想</b></em>着考上重点高中、...在黑夜为我<em><b>照亮</b></em>前行的路,让我在励志之中走向美好的...",http://www.uu6u.com/show-8-37211-1.html
8191,小议“爱心”,",她的爱心惠及到全国各地,也成就了无数孩子的<em><b>梦想</b></em>...当然,<em><b>现实</b></em>生活中很多人是会选择奉献爱心的。“天王...有人说爱心像一盏灯,<em><b>照亮</b></em>了他人更<em><b>照亮</b></em>了自己。(...",http://www.uu6u.com/show-13-37576-1.html
9860,乡村,"我留在那里每天和他们在一起生活,过着<em><b>田园</b></em>的生活。我帮他们除除草,松松土等一系列问题。过着农闲生活,在干活中,真是乐在其中。这应验了那句诗:“衣沾不足惜...",http://www.uu6u.com/show-13-34477-1.html
9860,走进乡村,"在田野,这个小镇又向我呈现出一片<em><b>田园</b></em>景象:火红的高梁随风摇摆,金灿灿的大片麦子,有一部分是青绿色的。绿油油的菠菜,红艳艳的西红柿,还有那在成长期的玉米,农民...",http://www.uu6u.com/show-7-52264-1.html
9860,我爱秋天的田园,"我爱秋天的<em><b>田园</b></em>临泽县新华中学七(2)班宋海霞秋天到了,最美丽的要算<em><b>田园</b></em>了。天边,层层叠叠,连绵起伏的高山被染成了墨绿色。山前,在那片美丽的稻田里,沉甸甸的...",http://www.uu6u.com/show-12-36872-1.html
9860,我心中的美好乡村,"在辛弃疾眼中,乡村是“稻花香里说丰年,听取蛙声一片”的<em><b>田园</b></em>风光,在二十世纪八十年代的人们眼中,最美乡村是“十里河塘,十里果香”的希望田野,而在我心中,最美...",http://www.uu6u.com/show-7-37002-1.html
9860,春天的田园风光,"一望无际的麦田,金光灿灿的油菜花,清新无比的空气……一个镜头接着一个镜头在我脑子里闪过。上个星期天,我来到田间地头,亲身感受这美丽的<em><b>田园</b></em>风光。走出县城,...",http://www.uu6u.com/show-11-36688-1.html
9881,雅与俗,"陈钟隐雅,在于姿态;俗,在于生活。<em><b>柴米油盐酱醋茶</b></em>,吃穿住行用,这本就是生而为人便不可或缺之物。可若是有人整日挂心这些,只怕文人墨客们便会一...",http://www.uu6u.com/show-9-16861-1.html
9881,闲情小记,"<em><b>柴米油盐酱醋茶</b></em>,包括厨房里的锅碗瓢盆都是老妈的“同事”。厨房对我来说简直就是十窍通了九窍——一窍不通。但每天老妈娴熟的进入做菜这一环节,而且每次的成果...",http://www.uu6u.com/show-11-18216-1.html
9881,"【真爱】有一种爱情,叫李健和孟小蓓","一般人会问:嫁给男神李健是一种什么体验?但翻翻李健妻子孟小蓓的微博,绝对会问:娶了大家闺秀是一种什么体验?普通人家的<em><b>柴米油盐酱醋茶</b></em>,全变成琴棋书画诗酒花。怪...",http://www.uu6u.com/show-9-2004-1.html
9881,乡下女人,"整天是忙不完的<em><b>柴米油盐酱醋茶</b></em>,听不完的是街乡邻里的恩恩怨怨,干不完的是没完没了的田园农活。农忙时,日出而作,日落儿息。累了,倦了,便坐在田野地头。看...",http://www.uu6u.com/show-7-24533-1.html
9881,亲情无暇,"亲情最淡也最浓,它永远也不会像爱情那样轰轰烈烈,似乎淡在<em><b>柴米油盐酱醋茶</b></em>之中,但它又永远是人内心深处最深沉、最难以割舍的情感。平时,我们很少在意这份其实浓浓...",http://www.uu6u.com/show-12-36065-1.html
